,Unnamed: 0,Heading,Text,Datetime,Company,Category,Score,Score_blob
57,57,80% US investors to increase ESG says PwC,A new report by PwC on ESG investing says that 8 of 10 US investors plan to increase their allocations to ESG products over the next two years.,2022-10-13 08:56:17+00:00,80%,Social,0.3182,0.0681818181818181
58,58,HSBC AM to divest from coal,HSBC Asset Management has announced its intention to phase out coal-fired power and thermal coal from its listed holdings.,2022-09-26 06:55:27+00:00,HSBC Holdings plc,Governance,0.3612,0.0
59,59,Barclays hires co-head of sustainable banking,Barclays has appointed Marie Freier as Global Co-Head of Sustainable and Impact Investment Banking.,2022-09-21 08:45:25+00:00,Barclays PLC,Environment,0.0,0.0
60,60,Barclays appoints head of sustainable finance,Barclays has appointed Daniel Hanna as Global Head of Sustainable Finance for corporate and investment banking.,2022-09-07 10:11:55+00:00,Barclays PLC,Environment,0.0,0.0
61,61,Santander US releases 2021 ESG report,"Santander US has announced that it has released its 2021 environmental, social and governance report.",2022-08-10 07:23:51+00:00,"Banco Santander, S.A.",Environment,0.0,0.0333333333333333
62,62,Houlihan Lokey publishes sustainability report,Houlihan Lokey has published its second annual sustainability report highlighting the firm’s ESG policies.,2022-08-02 06:34:19+00:00,"Houlihan Lokey, Inc.",Environment,0.0,-0.1
63,63,Northern Trust releases sustainability report,"Northern Trust has released its latest Sustainability Report, highlighting the firm’s ESG commitments.",2022-07-26 06:40:49+00:00,Northern Trust Corporation,Environment,0.5859,0.15
64,64,Pioneer releases 2022 sustainability report,Pioneer Natural Resources Company has announced the publication of its 2022 Sustainability Report.,2022-07-26 06:30:57+00:00,Pioneer Natural Resources Company,Environment,0.3612,0.1
65,65,Lundin Mining 2021 sustainability report,Lundin Mining Corporation has published its 2021 Sustainability Report outlining its long-term sustainability strategy.,2022-07-20 10:21:37+00:00,Lundin Mining Corporation,Environment,0.0,0.0
66,66,Atmos Energy releases sustainability report,Atmos Energy Corporation has released its latest corporate responsibility and sustainability report.,2022-07-14 07:37:51+00:00,Atmos Energy Corporation,Environment,0.2732,0.25
67,67,RMR Group publish 2021 sustainability report,The RMR Group has announced the publication of its annual sustainability report.,2022-07-11 13:42:51+00:00,The RMR Group Inc.,Environment,0.0,0.0
68,68,Blackstone invests $400mn in Xpansiv,Blackstone has announced that funds managed by Blackstone Energy Partners have invested $400 million in carbon trading platform Xpansiv.,2022-07-08 10:37:49+00:00,The Blackstone Group Inc.,Environment,0.2732,0.0
69,69,HSBC AM head responsible investing resigns,"Stuart Kirk, head of responsible investing at HSBC Asset Management has resigned following his controversial speech on climate change.",2022-07-08 10:27:30+00:00,HSBC Holdings plc,Environment,0.25,0.25
70,70,Fidelity survey shows slow move to net-zero,Fidelity International’s annual ESG Analyst Survey has found that corporate progress towards net zero still has a long way to go.,2022-07-05 09:12:54+00:00,Fidelity Investments,Environment,0.4215,-0.0125
71,71,Farfetch publishes 2021 ESG report,"Farfetch, a platform for the luxury fashion industry, has announced that it published its 2021 environmental, social and governance report.",2022-07-05 08:07:20+00:00,Farfetch Limited,Environment,0.0,0.0333333333333333
72,72,246 firms still operate in Russia says Yale,The Yale School of Management has said that over 1000 companies have stopped operating in Russia but 246 continue to do so.,2022-06-27 08:04:21+00:00,246,Governance,-0.1154,0.0
73,73,EU says greenwashing is over,The European Council and European Parliament have reached a provisional agreement on new rules for corporate sustainability reporting.,2022-06-24 08:11:32+00:00,European Union,Environment,0.5574,0.034090909090909
74,74,KKR releases 2021 sustainability report,KKR has released its 11th annual sustainability report which outlines how the company manages ESG issues across its investment portfolio and global operations.,2022-06-23 11:40:17+00:00,Kohlberg Kravis Roberts & Co. L.P.,Environment,0.0,0.0
75,75,Banks join aluminium decarbonisation group,Three banks have announced that they will partner with RMI’s Center for climate-aligned finance to help decarbonize the aluminum sector.,2022-06-22 08:13:40+00:00,"Banks.com, Inc.",Environment,0.4019,-0.1
76,76,Aramco publishes first sustainability report,Saudi Arabian oil company Aramco has published its first sustainability report which outlines how the company further plans to tackle emissions.,2022-06-20 09:53:20+00:00,Saudi Arabian Oil Company (Saudi Aramco),Environment,0.0,0.125
77,77,UBP releases 2021 impact report,Union Bancaire Privée has released its annual impact report which includes details of the bank’s impact equity strategies over the past 12 months.,2022-06-14 09:03:30+00:00,Union Bancaire Privée UBP SA,Social,0.0,-0.25
78,78,BNP Paribas AM publishes sustainability report,BNP Paribas Asset Management has published its 2021 sustainability report.,2022-06-07 08:57:29+00:00,BNP Paribas S.A.,Environment,0.3612,0.0
79,79,AIG releases 2021 ESG report,"American International Group has released its 2021 Environmental, Social and Governance report.",2022-05-23 16:14:57+00:00,"American International Group, Inc.",Environment,0.0,0.0111111111111111
80,80,Schroders pushes oil majors to move to net zero,Schroders has said that it is pre-declaring its voting intentions for three oil & gas majors to encourage a faster shift towards net zero.,2022-05-23 16:05:02+00:00,Schroders plc,Environment,0.5106,0.0
81,81,Jefferies issues annual ESG report,Jefferies Financial Group has announced the publication of its annual ESG report.,2022-05-23 14:07:33+00:00,Jefferies Financial Group Inc.,Social,0.0,0.0
82,82,Newmont publishes 2021 climate report,Newmont Corporation has published its 2021 Climate Report.,2022-05-20 15:34:09+00:00,Newmont Corporation,Environment,0.0,0.0
83,83,ESG activism increases by 20% at start of 2022,A report by Alvarez & Marsal says that ESG related shareholder activism in Europe saw a 20% increase in January and February compared to the same period in 2021.,2022-05-18 08:08:45+00:00,"Environmental, Social, and Governance",Social,0.3182,0.0
84,84,Are sustainable companies more expensive?,"New research by Duncan Lamont, Head of Strategic Research at Schroders, asks if firms with sustainable practices trade at higher valuations.",2022-05-16 07:24:44+00:00,Are,Environment,0.0,0.1931818181818181
85,85,BofA & Oxford partner on finance sustainability,Bank of America and Oxford’s Smith School of Enterprise and the Environment have announced a collaboration to tackle climate change and transform sustainability in financial services.,2022-05-10 13:23:16+00:00,Bank of America Corporation,Environment,0.0,0.0
86,86,European ESG bond issues decline in Q1 2022,"European ESG bond and loan issuance declined 32.4% in Q1 2022 on the previous year, according to the Association for Financial Markets in Europe.",2022-05-10 12:21:38+00:00,European Commission (or European Union),Environment,0.0,-0.0555555555555555
87,87,DuPont publishes 2022 sustainability report,DuPont has published its 2022 Sustainability Report detailing its ESG progress and actions to achieve its 2030 sustainability goals.,2022-05-03 08:17:38+00:00,"DuPont de Nemours, Inc.",Environment,0.4215,0.0
88,88,Franklin Templeton releases CSR report,Franklin Templeton has released its annual corporate social responsibility report for 2022.,2022-05-03 08:10:30+00:00,"Franklin Resources, Inc.",Social,0.0,0.0166666666666666
89,89,Robeco publishes 2021 sustainability report,Robeco has published its 2021 sustainability report.,2022-04-28 07:50:02+00:00,Robeco,Environment,0.0,0.0
90,90,Citi releases 2021 ESG report,"Citi has released its 2021 Environmental, Social and Governance report for 2021.",2022-04-26 07:25:03+00:00,Citigroup Inc.,Environment,0.0,0.0333333333333333
91,91,Martin Currie releases stewardship report,Martin Currie has released its annual stewardship report detailing its ESG and stewardship activities in 2021.,2022-04-20 07:47:21+00:00,"Martin Marietta Materials, Inc.",Governance,0.0,0.0
92,92,Barclays sees 10 ESG themes for 2022,"Barclays research has identified 10 key ESG themes for 2022 which includes seeing companies, sovereigns and investors moving into the implementation phase of net zero.",2022-04-13 07:03:11+00:00,Barclays PLC,Environment,0.0,0.0
93,93,Schroders publishes Engagement Blueprint,Schroders has announced the launch of its Engagement Blueprint designed to set new standards on active ownership.,2022-04-06 07:27:01+00:00,Schroders plc,Governance,0.6908,0.0015151515151515
94,94,BofA deploys $250bn in sustainable finance,Bank of America says it mobilized and deployed $250 billion in sustainable finance capital in 2021.,2022-04-05 08:42:07+00:00,Bank of America Corporation,Environment,0.0,0.0
95,95,Santander adds three ESG hires,Santander Wealth Management & Insurance and Santander Asset Management have made three new ESG hires to its sustainability teams.,2022-03-30 12:56:10+00:00,"Banco Santander, S.A.",Environment,0.6908,0.1363636363636363
96,96,UN Global Compact launches CFO Coalition,"Corporate sustainability initiative, the UN Global Compact, has announced the launch of the Chief Financial Officers’ Coalition for the SDGs.",2022-03-30 07:47:19+00:00,United Nations,Environment,0.0,0.0
97,97,HSBC hires three senior sustainability experts,HSBC has announced the appointment of three senior sustainability experts.,2022-03-22 08:47:00+00:00,HSBC Holdings plc,Environment,0.0,0.0
98,98,SEC releases proposal for climate disclosure,The US Securities and Exchange Commission Commission has released a proposed rule requiring mandatory climate disclosure from all US public companies.,2022-03-22 08:34:35+00:00,U.S. Securities and Exchange Commission,Environment,0.3612,-0.1
99,99,Equinor releases sustainability report for 2021,Equinor ASA has released its 2021 Sustainability Report.,2022-03-18 11:31:56+00:00,Equinor ASA,Environment,0.0,0.0
100,100,UBS publishes sustainability & climate reports,UBS has published its Sustainability Report and Climate Report providing more information on its Climate Roadmap.,2022-03-15 07:21:47+00:00,UBS Group AG,Environment,0.0,0.5
101,101,61% of corporates targeting net zero by 2030,A Westpac survey has revealed that nearly two thirds of corporates are targeting net zero by 2030.,2022-03-14 12:47:22+00:00,61%,Environment,0.0,0.05
102,102,Ericsson publishes 2021 sustainability report,"In its 2021 Sustainability and Corporate Responsibility Report, Ericsson says it has delivered on its sustainability targets.",2022-03-10 12:54:55+00:00,Telefonaktiebolaget LM Ericsson (Ericsson),Environment,0.0,0.0
103,103,FRC adds 74 names to UK Stewardship Code,The Financial Reporting Council has published an updated list of signatories to the UK Stewardship Code.,2022-03-10 12:04:27+00:00,Financial Reporting Council (UK),Governance,0.0,0.0
104,104,AIG commits to net zero emissions by 2050,American International Group has announced that it plans to achieve net zero greenhouse gas emissions by 2050 or sooner.,2022-03-02 07:46:55+00:00,"American International Group, Inc.",Environment,0.0258,0.0
105,105,AllianzGI wants executive pay tied to ESG,Allianz Global Investors has said it will vote against European large caps that do not include ESG criteria in executive pay agreements.,2022-02-22 16:36:59+00:00,Allianz Global Investors,Social,0.1779,0.0714285714285714
106,106,Trafigura publishes first human rights report,Trafigura Group has published its first stand-alone Human Rights Report.,2022-02-03 11:10:53+00:00,Trafigura Group Pte. Ltd.,Social,0.0,0.125
107,107,Aviva raises ESG standards for its investments,Aviva Investors says that it expects the companies it invests in to deliver tangible and transparent progress on sustainability in 2022.,2022-01-24 11:47:38+00:00,Aviva plc,Environment,0.4215,0.0
108,108,"NYSTRS ceases investing in oil, gas & coal",The New York State Teachers’ Retirement System has said it will stop investment in 20 oil and gas and thermal coal companies.,2022-01-24 09:02:54+00:00,New York State Teachers' Retirement System,Governance,-0.296,0.1363636363636363
109,109,CaixaBank launches ESG advisory service,CaixaBank has launched a new ESG advisory service to help its clients in their sustainable strategies.,2022-01-24 08:33:20+00:00,"CaixaBank, S.A.",Environment,0.4939,0.1363636363636363
110,110,ExxonMobil aims for net zero by 2050,ExxonMobil has said it plans to achieve net zero greenhouse gas emissions for operated assets by 2050.,2022-01-19 10:05:52+00:00,Exxon Mobil Corporation,Environment,0.1779,0.0
111,111,HSBC hires head of sustainable infrastructure,HSBC has announced the appointment of Christian Deseglise as Group Head of Sustainable Infrastructure and Innovation.,2022-01-19 08:38:31+00:00,HSBC Holdings plc,Environment,0.3818,0.0
112,112,Zero100 launched to cut supply chain carbon,"Zero100 has announced the launch of the Zero100 Advisory Board, a cross-industry coalition of leaders in the digital and sustainable economy.",2022-01-18 08:31:39+00:00,Not identified (please provide additional context),Environment,-0.1531,0.0
113,113,J. Safra Sarasin hires chief sustainability officer,Bank J. Safra Sarasin has announced the appointment of Dr Daniel Wild as Chief Sustainability Officer.,2021-12-23 10:14:55+00:00,"J.C. Penney Company, Inc. (if referring to ""J. C. Penney"")",Environment,0.0,0.1
114,114,Nest and UBS AM divest from 5 energy firms,Pension scheme Nest and UBS Asset Management have said that because of climate change risk they have divested from five energy companies.,2021-12-21 11:36:47+00:00,Nestlé S.A.,Environment,0.3612,0.0
115,115,FCA new rules on climate-related disclosures,The UK Financial Conduct Authority will introduce new rules on 1 January 2202 requiring issuers of listed shares and asset managers to disclose how they will meet the recommendations of the TCFD.,2021-12-21 10:15:22+00:00,Fiat Chrysler Automobiles N.V.,Governance,0.6124,0.0681818181818181
116,116,BNY Mellon launches three sustainable ETFs,BNY Mellon Investment Management has launched three actively managed sustainable exchange traded funds.,2021-12-16 08:42:31+00:00,The Bank of New York Mellon Corporation (BNY Mellon),Environment,0.4215,-0.1333333333333333
117,117,ESG now top consideration for M&A,A survey by Grant Thornton of M&A professionals has found that ESG considerations are now key among dealmakers.,2021-12-09 10:14:16+00:00,"Environmental, Social, and Governance",Social,0.3612,0.5
118,118,Coutts pushes LyondellBasell towards net zero,"Coutts, and other shareholders, say they have prompted LyondellBasell to commit to achieve net zero by 2050.",2021-12-08 11:23:34+00:00,Coutts & Co. (private bank),Environment,0.296,-0.0625
119,119,VTB Capital says $1.1tn to decarbonise Russia,"It will require investments of $1.1tn to reduce greenhouse gas emissions from the Russian economy by 50% before 2060, says VTB Capital.",2021-11-30 16:01:12+00:00,VTB Bank (Public Joint-Stock Company),Environment,0.0,0.0
120,120,ESG factors slow FTSE 100 pay says PwC,"Executive pay at FTSE 100 companies continues to show restraint in 2021, new research from PwC shows.",2021-11-23 09:24:45+00:00,"Environmental, Social, and Governance",Governance,-0.1027,0.1363636363636363
121,121,Maersk issues green bond for methanol vessels,Shipping company Maersk has issued a 10-year €500 million green bond to fund 8 ocean-going container vessels which will be capable of operating on carbon neutral methanol by 2024.,2021-11-22 08:45:31+00:00,A.P. Møller - Mærsk A/S (Maersk Group),Environment,0.3818,-0.2
122,122,92% of S&P publishing sustainability reports,The Governance & Accountability Institute has published its 2021 Sustainability Reporting in Focus.,2021-11-17 09:17:47+00:00,92%,Environment,0.0,0.0
123,123,COP26: call for action on cement emissions,At COP26 the World Cement Association will outline three key actions governments can take to accelerate the cement industryâs progress towards net zero.,2021-11-10 09:11:18+00:00,COP26:,Environment,0.4215,0.1
124,124,MS announces sector net-zero targets,Morgan Stanley has announced plans to reach net-zero financed emissions by 2050 in three sectors.,2021-11-08 08:16:14+00:00,Morgan Stanley,Environment,0.0258,0.0
125,125,81% of FTSE 100 companies lack net zero plans,A report from EcoAct shows that just 19% of the FTSE 100 have long-term emissions reduction targets to meet net-zero goals.Â,2021-11-01 08:18:43+00:00,81%,Environment,-0.3182,0.0
126,126,ISS ESG adds EVA Leaders Index Series,ISS ESG has launched the EVA Leaders Index Series to help investors integrate ESG criteria across leading global companies.,2021-10-21 08:45:21+00:00,Institutional Shareholder Services Inc.,Social,0.4939,0.0
127,127,Few FTSE 100 firms have plans for net zero,Fewer than 25% of FTSE 100 companies have published plans to reach net zero carbon emissions which are scientifically backed according to Arabesque.,2021-10-20 08:15:47+00:00,Fewer & Partners (a law firm),Environment,0.0516,-0.1
128,128,ING publishes first integrated climate report,Dutch bank ING has published its first integrated climate report.,2021-09-17 08:46:15+00:00,ING Group N.V.,Environment,0.0,0.25
129,129,Dow publishes INtersections ESG report,"Dow Inc. has released âINtersections,â its first consolidated ESG Report highlighting theÂ  integration of environmental stewardship and social impact throughout the company.",2021-06-25 09:04:50+00:00,The Dow Chemical Company,Environment,0.0,0.1416666666666666
130,130,FCA publishes new plans for climate disclosure,The UK FCA has published new proposals on climate-related disclosure rules for listed companies.,2021-06-23 09:20:03+00:00,Fiat Chrysler Automobiles N.V.,Environment,0.0,0.1363636363636363
131,131,LGIM to divest from four companies,Legal & General Investment Management has said it will divest from four companies due to insufficient action on climate change.,2021-06-21 10:49:56+00:00,Legal & General Investment Management Limited,Environment,0.128,0.05625
132,132,ING leads group to decarbonise steel sector,ING and five other banks have formed a working group to take action on climate in the steel sector.,2021-05-28 07:41:56+00:00,ING Group N.V.,Environment,0.0,-0.0124999999999999
133,133,Shell ordered to cut emissions by 45%,Royal Dutch Shell has been ordered to cut its greenhouse gas emission cuts by a Dutch court.,2021-05-27 08:24:55+00:00,Royal Dutch Shell plc,Environment,-0.5106,0.0
134,134,SPACs target more ESG companies,Data from Nomura Greentech shows US special purpose acquisition companies are increasingly targeting companies with higher ESG standards.Â,2021-05-21 09:11:26+00:00,Special Purpose Acquisition Companies,Environment,0.4019,0.3035714285714286
